descripcion;precio;ppund
WHISKY PASSPORT 700C;$ 47.400;PUM: 67.71 por mililitro
VINO SANTA HELENA VARIETAL 750C ROSE;$ 42.450;PUM: 56.6 por mililitro
VINO SANTA HELENA VARIETAL 750C MERLOT;$ 42.450;PUM: 56.6 por mililitro
VINO SANTA HELENA VARIETAL 750C CARMENER;$ 42.450;PUM: 56.6 por mililitro
WHISKY SOMETHING SPECIAL 750C;$ 65.850;PUM: 87.8 por mililitro
VINO ESPUMOSO JP CHENET 750C FASHION CAS;$ 77.990;PUM: 103.99 por mililitro
AGUARDIENTE ANTIOQUENO GARRAFA S/A;$ 99.790;PUM: 49.9 por mililitro
AGUARDIENTE ANTIOQUENO 24 S/A 750ML;$ 33.990;PUM: 45.32 por mililitro
VINO TARAPACA VARIETAL MERLOT 750C;$ 53.450;PUM: 71.27 por mililitro
RON BACARDI ANEJO 750ML;$ 46.290;PUM: 61.72 por mililitro
VINO ESPUMOSO JP CHENET 750C SPARKLIN;$ 66.490;PUM: 88.65 por mililitro
TEQUILA G/CENTENARIO 700ML REPOSADO;$ 105.750;PUM: 151.07 por mililitro
VINO RESERVA GATO 9 VIDAS 750ML CABERNET;$ 66.450;PUM: 88.6 por mililitro
VINO MAIPO CABERNET 750ML;$ 43.850;PUM: 58.47 por mililitro
AGUARDIENTE ANTIOQUENO BOTELLA;$ 40.980;PUM: 54.64 por mililitro
AGUA TONICA MIL976 FOURPACK INDI;$ 20.790;PUM: 25.11 por mililitro
AVENA ALPINA 280M NATURAL BOTELLA;$ 4.150;PUM: 14.82 por mililitro
WHISKY BALLANTINES FINES 700C;$ 60.050;PUM: 85.79 por mililitro
WHISKY OLDPARR 1000ML 12 ANOS;$ 179.800;PUM: 179.8 por mililitro
TEQUILA OLMECA 700M REPOSADO;$ 75.650;PUM: 108.07 por mililitro
VODKA FINLANDIA 750ML;$ 69.490;PUM: 92.65 por mililitro
VINO TARAPACA GRAN RESERVA CARMENERE750C;$ 110.990;PUM: 147.99 por gramo
RON VIEJO DE CALDAS 375CC 8 ANOS;$ 43.150;PUM: 115.07 por mililitro
LICOR JAGERMEISTER 700ML;$ 92.990;PUM: 132.84 por mililitro
VODKA ABSOLUT 350C;$ 50.390;PUM: 143.97 por mililitro
TEQUILA JOSE CUERVO 375C ESPEC REPOSADO;$ 49.850;PUM: 132.93 por mililitro
TEQUILA G/CENTENARIO 695ML PLATA 700;$ 105.750;PUM: 152.16 por mililitro
WHISKY JACK DANIELS 750ML;$ 112.850;PUM: 150.47 por mililitro
WHISKY CHIVAS REGAL 375C;$ 79.500;PUM: 212 por mililitro
WHISKY CHIVAS REGAL 700C 12 ANOS;$ 132.900;PUM: 189.86 por mililitro
RON MEDELLIN 375M DORADO;$ 20.650;PUM: 55.07 por mililitro
RON MEDELLIN ANEJO GARRAFA;$ 102.990;PUM: 51.49 por mililitro
RON MEDELLIN ANEJO BOTELLA;$ 43.990;PUM: 58.65 por mililitro
